(569, 65)
(644, 86)
(686, 21)
(614, 2)
(644, 86)
(720, 107)
(759, 40)
(686, 21)
(720, 107)
(795, 128)
(831, 59)
(759, 40)
(795, 128)
(871, 149)
(904, 78)
(831, 59)
(240, 10)
(198, 50)
(298, 88)
(339, 47)
(198, 50)
(156, 90)
(257, 129)
(298, 88)
(156, 90)
(114, 130)
(216, 170)
(257, 129)
(114, 130)
(73, 171)
(175, 211)
(216, 170)
(441, 267)
(521, 297)
(587, 198)
(510, 172)
(521, 297)
(602, 328)
(665, 225)
(587, 198)
(602, 328)
(683, 359)
(743, 252)
(665, 225)
(683, 359)
(764, 390)
(821, 279)
(743, 252)
(764, 390)
(845, 421)
(899, 306)
(821, 279)
(353, 399)
(441, 433)
(521, 303)
(439, 269)
(441, 433)
(529, 468)
(603, 337)
(521, 303)
(529, 468)
(617, 503)
(685, 371)
(603, 337)
(617, 503)
(706, 538)
(767, 405)
(685, 371)
(770, 407)
(716, 539)
(809, 534)
(845, 433)
