(157, 110)
(132, 142)
(214, 153)
(236, 120)
(132, 142)
(108, 174)
(192, 187)
(214, 153)
(108, 174)
(84, 206)
(171, 220)
(192, 187)
(84, 206)
(60, 238)
(149, 254)
(171, 220)
(60, 238)
(36, 271)
(128, 288)
(149, 254)
(239, 124)
(288, 129)
(317, 79)
(272, 75)
(288, 129)
(338, 134)
(363, 83)
(317, 79)
(338, 134)
(387, 139)
(409, 88)
(363, 83)
(387, 139)
(437, 144)
(455, 92)
(409, 88)
(437, 144)
(486, 149)
(500, 96)
(455, 92)
(486, 149)
(536, 154)
(546, 101)
(500, 96)
(536, 154)
(585, 159)
(592, 105)
(546, 101)
(585, 159)
(635, 165)
(638, 110)
(592, 105)
(292, 45)
(336, 49)
(355, 6)
(313, 2)
(336, 49)
(380, 53)
(397, 10)
(355, 6)
(380, 53)
(424, 57)
(439, 14)
(397, 10)
(424, 57)
(469, 61)
(481, 18)
(439, 14)
(469, 61)
(513, 65)
(523, 22)
(481, 18)
(513, 65)
(557, 69)
(565, 26)
(523, 22)
(557, 69)
(601, 73)
(607, 30)
(565, 26)
(601, 73)
(646, 78)
(650, 35)
(607, 30)
(315, 290)
(374, 300)
(406, 219)
(352, 212)
(374, 300)
(433, 310)
(460, 227)
(406, 219)
(433, 310)
(492, 320)
(514, 235)
(460, 227)
(492, 320)
(551, 330)
(568, 243)
(514, 235)
(551, 330)
(611, 340)
(622, 251)
(568, 243)
(271, 390)
(337, 401)
(370, 301)
(311, 291)
(337, 401)
(403, 413)
(430, 311)
(370, 301)
(403, 413)
(469, 424)
(490, 321)
(430, 311)
(469, 424)
(535, 436)
(550, 331)
(490, 321)
(535, 436)
(601, 448)
(610, 342)
(550, 331)
